Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Стус,Вадим,Павлович,male,1984-05-16,Офіс-менеджер,село Івано-Франківськ,"сквер 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 9 кв. 4, Харцизьк, 22232",345-14-41,kostiantynkylymnyk@example.com
Іваничук,Демʼян,Кирилович,male,1995-03-03,PR-менеджер,село Вашківці,"вулиця Недєліна, буд. 83, Бібрка, 95883",094 166 61 31,tovstolisiukhym@example.net
Лавренко,Демʼян,Іванович,male,1953-05-08,Аналітик даних,селище Вилкове,"парк Краснослобідська, буд. 730 кв. 34, Жданівка, 28025",036 420 44 33,csatsiuk@example.net
Власенко,Геннадій,Ігорович,male,1994-10-02,Системний адміністратор,місто Рубіжне,"сквер Строганова, буд. 8 кв. 132, Кагарлик, 85758",+380 77 707 91 87,halyna03@example.net
Дахно,Мирослав,Федорович,male,1998-04-15,Системний адміністратор,місто Дніпро ,"парк Пересипська 9-та, буд. 38 кв. 1, Авдіївка, 51138",+380 64 501-50-34,kovpakpavlo@example.com
Вакарчук,Андрій,Петрович,male,1940-12-28,Тестувальник,хутір Дубляни,"узвіз 5-та Суворовська, буд. 879, Петрово-Красносілля, 46499",065 747-72-28,ieva52@example.com
Артимович,Златослава,Павлівна,female,1946-04-28,PR-менеджер,хутір Зіньків,"вулиця Гагарінське плато, буд. 854 кв. 040, Богуслав, 56813",057 956-64-72,baranetssemen@example.com
Охримович,Тимофій,Павлович,male,2006-02-27,Системний адміністратор,село Корсунь-Шевченківський,"вулиця Рівності, буд. 13, Копичинці, 77481",327-26-38,syrotenkoiustym@example.com
Авраменко,Василина,Михайлівна,female,2007-01-26,Дизайнер,село Армянськ,"парк Дачний, буд. 1 кв. 254, Підгайці, 31033",110 59 85,babarychenkoiukhym@example.org
Шиян,Альбіна,Зеновіївна,female,1958-01-31,Менеджер з закупівель,хутір Мукачево,"шосе Льва Толстого, буд. 74 кв. 93, Ровеньки, 17461",001 048 54 00,roksolanavlasiuk@example.net
Вишиваний,Богдан,Павлович,male,1969-11-04,Аудитор,селище Луцьк,"вулиця Лазурний 2-й, буд. 336, Буринь, 64683",+380 (00) 020-95-57,myroslavchervonenko@example.com
Мірошниченко,Трохим,Петрович,male,2003-12-30,Бухгалтер,село Корсунь-Шевченківський,"сквер Балтський 5-й, буд. 773, Бобровиця, 72433",+380 79 777-73-96,riakovenko@example.com
Пʼятаченко,Борислав,Олегович,male,1998-10-27,Копірайтер,місто Коростишів,"вулиця Наявний 5-й, буд. 0 кв. 748, Чернівці, 21383",074 375-96-85,venhrynovychmartyn@example.com
Дубенко,Левко,Костянтинович,male,1975-04-07,Асистент керівника,хутір Хирів,"проспект Головна, буд. 543 кв. 01, Хоростків, 08048",+380 31 802-09-88,halynachuiko@example.com
Фартушняк,Єва,Євгенівна,female,1993-06-03,Копірайтер,селище Новоселиця,"узвіз Солонцюватий 1-й, буд. 88 кв. 93, Сколе, 49491",+380 15 684 62 28,olenazakharenko@example.org
Артим,Орися,Володимирівна,female,1940-05-02,Менеджер з закупівель,село Новий Калинів,"парк Китобійна, буд. 47 кв. 2, Роздільна, 01666",009 401 98 56,hohol-ianovskyiliza@example.com
Артюшенко,Аніта,Захарівна,female,2005-05-12,Кадровий менеджер,місто Переяслав,"сквер Дунайська, буд. 54 кв. 3, Бахмут, 11849",072 962 97 24,korsunorest@example.net
Масляк,Лесь,Юрійович,male,1993-08-18,HR-менеджер,селище Брянка,"шосе Тираспольська, буд. 3 кв. 268, Підгородне, 83591",050 027-02-40,les03@example.net
Дубас,Вікторія,Іванівна,female,1994-04-11,Менеджер з продажу,місто Новоселиця,"парк Вокзальна, буд. 478, Татарбунари, 03048",+380 (82) 280-99-65,onysym40@example.org
Козаченко,Варфоломій,Володимирович,male,1970-08-17,Менеджер з продукту,село Пологи ,"узвіз 14-та ст. Великого Фонтану пляж, буд. 83 кв. 276, Сторожинець, 69350",+380 11 183-23-92,kamillakabaliuk@example.com
Ярема,Ганна,Остапівна,female,1958-07-01,Бухгалтер,село Герца,"набережна Нафтовиків, буд. 246, Білгород-Дністровський, 54394",048-49-14,vashchenkoiarema@example.com
Баранець,Камілла,Вікторівна,female,1964-05-03,Системний адміністратор,хутір Довжанськ,"шосе Лермонтовський 2-й, буд. 12, Святогірськ, 28401",+380 22 062 94 90,solomiiakovalenko@example.net
Пушкар,Аарон,Остапович,male,2005-11-09,Фінансовий аналітик,місто Городок,"шосе Єлисаветградський, буд. 53 кв. 3, Дрогобич, 41697",+380 55 444 91 74,bezborodkoerika@example.net
Вакуленко,Вадим,Марківич,male,1950-01-05,Менеджер з закупівель,селище Прип'ять ,"шосе Радіальна, буд. 036, Мукачево, 39282",444-29-67,qsahal@example.org
Авдєєнко,Тетяна,Петрівна,female,1960-10-23,Аналітик даних,село Кропивницький,"шосе Стовпова, буд. 75 кв. 8, Євпаторія, 43786",+380 21 105-83-92,ihnat74@example.net
Якимчук,Руслан,Ярославович,male,1942-11-16,Аудитор,село Новодністровськ,"узвіз Дорбуду, буд. 0 кв. 1, Мена , 27021",093 68 69,dubasbohuslava@example.org
Савенко,Ірина,Денисівна,female,1956-07-27,Менеджер з продукту,село Соледар,"вулиця Фруктовий, буд. 15, Корець, 30182",038 094 86 00,iaroslava05@example.com
Каденюк,Олександр,Остапович,male,1951-08-07,Фінансовий аналітик,село Старобільськ,"проспект Маршала Малиновського, буд. 47, Кадіївка, 02742",+380 31 764 97 07,omelianustenko@example.com
Гаврюшенко,Євген,Станіславович,male,1996-03-07,Менеджер з продажу,село Конотоп,"сквер Бугаївська, буд. 60, Арциз, 14074",040 68 03,okhrymovychavrelii@example.com
Ґалаґан,Амвросій,Васильович,male,1947-09-28,Менеджер з маркетингу,хутір Новий Буг,"парк Князівська, буд. 00 кв. 02, Радомишль, 27435",+380 32 177-75-09,omelian38@example.org
Чумак,Леон,Геннадійович,male,1960-06-16,Тестувальник,селище Ірміно,"вулиця Вокзальний, буд. 723, Вільногірськ, 15840",028 446 61 81,vandriishyn@example.org
Євдокименко,Павло,Юрійович,male,1954-10-30,Тестувальник,місто Ялта,"парк Кощового отамана, буд. 103 кв. 245, Вижниця, 22345",735 21 03,stepan44@example.org
Петлюра,Аарон,Іванович,male,1984-05-30,Програміст,село Харків,"сквер Жевахова, буд. 7, Чигирин, 66172",+380 94 783-05-35,kadeniukmaryna@example.com
Яценюк,Семен,Назарович,male,1980-07-04,Офіс-менеджер,хутір Євпаторія,"провулок Тепличний 2-й, буд. 30, Каховка, 29958",+380 06 515-57-00,vlasenkorostyslav@example.net
Ващенко-Захарченко,Юхим,Олексійович,male,1984-02-14,Фінансовий аналітик,місто Фастів,"проспект Ямська, буд. 89, Світловодськ, 55190",782 32 85,zdashenko@example.com
Пустовіт,Емілія,Захарівна,female,1947-07-21,Бухгалтер,село Сєвєродонецьк,"вулиця Гранатна, буд. 0 кв. 8, Новодністровськ, 18303",+380 95 300-98-59,lizaderkach@example.net
Гунько,Андрій,Ігорович,male,1987-12-16,Менеджер з закупівель,селище Мар'їнка,"площа Чорноморського козацтва, буд. 6 кв. 844, Комарно, 70505",346-30-02,haidaburaihnat@example.net
